left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,label
0,101,158,14,0,0,0,0,78,18,0,0,0,238,220,114,7,0,0,16,89,40,0,0,0,132,255,191,44,0,0,47,268,120,0,0,0,0,74,104,0,0,0,79,1317,193,0,0,0,0,0,53,7,160,270,317,374,22,0,0,0,67,216,125,95,16,59,143,170,46,0,0,0,121,212,76,0,0,0,42,60,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,backward
0,453,384,119,0,0,3,10,114,14,0,0,0,566,448,239,46,0,7,23,91,0,0,0,0,345,406,219,0,0,0,20,139,5,0,0,0,0,36,0,0,0,0,12,361,0,0,0,0,0,22,0,0,0,7,59,82,0,0,0,10,438,443,113,21,0,0,66,39,0,0,0,31,749,561,154,0,0,0,6,0,0,0,0,32,387,320,0,0,0,0,0,0,0,0,0,backward
9,747,534,122,0,0,0,0,58,0,0,0,0,881,613,267,0,0,3,6,75,0,0,0,0,617,553,220,0,0,0,0,66,0,0,0,0,0,38,0,0,0,0,0,118,0,0,0,0,0,29,0,0,0,0,29,14,0,0,0,72,494,481,45,0,0,0,35,0,0,0,0,185,882,643,107,0,0,0,0,0,0,0,0,150,477,381,0,0,0,0,0,0,0,0,0,backward
0,354,340,0,0,0,0,0,0,0,0,0,0,784,522,190,0,0,0,0,85,0,0,0,0,614,503,230,0,0,0,11,104,0,0,0,0,46,146,38,0,0,0,8,430,0,0,0,0,0,111,24,0,21,68,105,135,0,0,0,48,540,575,210,57,0,0,100,54,0,0,0,48,851,636,162,0,0,0,0,0,0,0,0,0,421,326,0,0,0,0,0,0,0,0,0,backward
0,694,595,179,0,0,0,18,151,66,0,0,0,975,677,349,81,12,21,11,105,40,0,0,0,752,675,317,18,0,0,0,97,25,0,0,0,24,133,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,47,80,0,0,0,0,203,280,17,0,0,0,41,48,0,0,0,0,560,488,129,0,0,0,25,57,0,0,0,36,281,256,27,0,0,0,0,11,0,0,0,backward
0,395,380,269,172,199,77,152,352,190,0,0,0,289,330,269,219,95,73,79,143,60,0,0,0,22,178,63,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,42,89,0,0,0,0,0,61,0,0,0,0,33,74,18,0,0,0,224,298,64,0,0,0,36,139,92,58,0,0,163,196,87,0,0,0,58,191,30,0,0,strafe_left
0,368,349,297,267,380,191,320,701,262,23,0,0,135,211,199,201,106,109,83,148,47,0,0,0,0,60,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0,201,239,0,0,0,0,20,115,65,51,0,32,212,226,91,0,0,0,57,303,95,0,0,strafe_left
0,420,382,316,302,453,224,361,794,243,13,0,0,137,212,189,170,78,86,68,122,21,0,0,0,0,39,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0,236,247,0,0,0,0,21,110,64,43,0,56,240,249,93,0,0,0,55,290,95,0,0,strafe_left
0,0,47,47,69,266,149,336,888,504,135,0,0,0,52,25,91,107,148,181,328,242,40,0,0,0,0,0,0,0,0,0,196,107,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,18,56,23,0,0,0,0,82,0,0,0,0,38,167,150,155,0,0,0,34,0,0,0,0,55,259,92,0,0,strafe_left
0,293,287,249,187,320,141,244,547,293,41,0,0,157,239,218,257,159,160,141,218,106,0,0,0,0,106,35,0,0,0,0,82,13,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,7,0,0,0,0,10,39,6,0,0,0,111,169,0,0,0,0,19,96,71,51,0,4,87,116,36,0,0,0,35,144,24,0,0,strafe_left
